campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,calculated_roi,roi_comparison,net_profit,start_month,start_month_name,start_quarter,start_year,end_month,end_month_name,end_quarter,end_year,start_day_of_week,campaign_quarter,revenue_category,calculated_roi_performance,budget_category,conversion_performance,profit_margin,revenue_per_day,is_profitable,is_high_performing,is_holiday_campaign,is_long_campaign,is_digital,cost_per_conversion
Secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,B2C,paid,0.4,958654.12,201,1677.4,Different,904718.32,5,May,2,2023,12,December,4,2023,Thursday,2Q2023,high revenue,Muy alto,high budget,Media,0.9437379980174705,4769.423482587064,1,1,0,0,1,1348.395
Seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,B2B,paid,0.56,932824.61,707,1208.73,Different,861547.51,8,August,3,2022,7,July,3,2024,Friday,3Q2022,high revenue,Muy alto,high budget,Media,0.9235900304988738,1319.4124611032532,1,1,0,1,1,1272.805357142857
Configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,B2C,paid,0.15,430007.3,524,2592.9,Different,414039.1,10,October,4,2022,3,March,1,2024,Sunday,4Q2022,medium revenue,Muy alto,low budget,Baja,0.9628652815894055,820.6246183206107,1,1,0,1,1,1064.5466666666666
Customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,B2C,paid,0.7,924154.29,208,1596.68,Different,869685.88,1,January,1,2023,8,August,3,2023,Friday,1Q2023,high revenue,Muy alto,high budget,Alta,0.9410613459360774,4443.049471153847,1,1,1,0,1,778.1201428571429
Cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,B2B,promotion,0.8,72323.84,203,146.05,Different,42930.06,7,July,3,2023,2,February,1,2024,Thursday,3Q2023,low revenue,Muy alto,low budget,Alta,0.5935810377325098,356.2750738916256,1,1,0,0,0,367.42224999999996
Vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,B2B,referral,0.28,42048.95,484,359.66,Different,32901.159999999996,11,November,4,2022,3,March,1,2024,Thursday,4Q2022,low revenue,Muy alto,low budget,Baja,0.7824490266701071,86.87799586776859,1,1,1,1,0,326.70678571428573
Ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,B2B,organic,0.65,482216.95,465,600.88,Different,413415.73,12,December,4,2022,3,March,1,2024,Friday,4Q2022,medium revenue,Muy alto,high budget,Alta,0.8573230990739749,1037.0256989247312,1,1,1,1,1,1058.4803076923076
Ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,B2B,organic,0.1,704768.1,117,2494.05,Different,677599.5,4,April,2,2023,8,August,3,2023,Saturday,2Q2023,high revenue,Muy alto,low budget,Baja,0.9614502983321749,6023.658974358974,1,1,0,0,1,2716.8599999999997
Programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,B2B,paid,0.7,116505.36,587,193.59,Different,76822.45999999999,11,November,4,2022,7,July,3,2024,Tuesday,4Q2022,low revenue,Muy alto,medium budget,Alta,0.6593899199144142,198.47591141396933,1,1,1,1,1,566.8985714285715
Cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,B2C,promotion,0.0,617379.96,313,591.92,Different,528152.26,2,February,1,2023,1,January,1,2024,Monday,1Q2023,medium revenue,Muy alto,high budget,Baja,0.8554736049417607,1972.4599361022363,1,1,0,0,0,0.0
Secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,B2C,promotion,0.39,571977.28,507,490.17,Different,475059.31000000006,11,November,4,2022,4,April,2,2024,Saturday,4Q2022,medium revenue,Muy alto,high budget,Media,0.8305562591577065,1128.160315581854,1,1,1,1,0,2485.076153846154
Seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,B2B,organic,0.9,984261.3,462,3375.08,Different,955937.89,9,September,3,2022,12,December,4,2023,Tuesday,3Q2022,high revenue,Muy alto,low budget,Muy alta,0.9712236882624563,2130.4357142857143,1,1,0,1,1,314.70455555555554
Intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,B2B,referral,0.4,77500.94,206,21.75,Different,13844.760000000002,6,June,2,2023,1,January,1,2024,Thursday,2Q2023,low revenue,Muy alto,high budget,Media,0.17863989778704623,376.21815533980583,1,1,0,0,0,1591.4045
Mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,B2B,organic,0.98,210953.33,489,205.36,Different,141869.22999999998,2,February,1,2023,7,July,3,2024,Tuesday,1Q2023,low revenue,Muy alto,high budget,Muy alta,0.6725147690249781,431.39740286298564,1,1,0,1,1,704.9397959183674
Organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,B2B,paid,0.26,477907.76,84,630.22,Different,412460.35,7,July,3,2023,10,October,4,2023,Friday,3Q2023,medium revenue,Muy alto,high budget,Baja,0.8630543057095369,5689.378095238096,1,1,0,0,1,2517.208076923077
User-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,B2B,organic,0.97,658107.7,345,3137.36,Different,637779.1699999999,4,April,2,2023,3,March,1,2024,Thursday,2Q2023,high revenue,Muy alto,low budget,Muy alta,0.9691106334115221,1907.5585507246376,1,1,0,0,1,209.5724742268041
Future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,B2C,promotion,0.75,472138.22,329,2380.93,Different,453107.52999999997,12,December,4,2022,11,November,4,2023,Sunday,4Q2022,medium revenue,Muy alto,low budget,Alta,0.9596925451195203,1435.0705775075987,1,1,1,0,0,253.7425333333333
Function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,B2C,organic,0.24,570246.17,463,1921.87,Different,542042.3300000001,12,December,4,2022,3,March,1,2024,Sunday,4Q2022,medium revenue,Muy alto,low budget,Baja,0.9505409391877196,1231.6331965442766,1,1,1,1,1,1175.16
User-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,B2C,referral,0.62,430498.24,584,330.68,Different,330541.08999999997,8,August,3,2022,3,March,1,2024,Saturday,3Q2022,medium revenue,Muy alto,high budget,Alta,0.7678105490047996,737.1545205479451,1,1,0,1,0,1612.2120967741935
Virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,B2B,paid,0.1,672667.53,202,2330.56,Different,644992.11,6,June,2,2023,12,December,4,2023,Tuesday,2Q2023,high revenue,Muy alto,low budget,Baja,0.9588572084042766,3330.037277227723,1,1,0,0,1,2767.542
Reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,B2C,organic,0.64,816593.62,410,870.76,Different,732474.29,4,April,2,2023,6,June,2,2024,Sunday,2Q2023,high revenue,Muy alto,high budget,Alta,0.8969875248351806,1991.691756097561,1,1,0,1,1,1314.36453125
Organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,B2B,promotion,0.2,683796.77,535,1170.38,Different,629970.56,10,October,4,2022,4,April,2,2024,Saturday,4Q2022,high revenue,Muy alto,high budget,Baja,0.9212833222362253,1278.1248037383177,1,1,0,1,0,2691.3105
Centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,B2C,promotion,0.14,364648.39,16,328.37,Different,279523.39,7,July,3,2023,8,August,3,2023,Wednesday,3Q2023,low revenue,Muy alto,high budget,Baja,0.766555941738835,22790.524375,1,1,0,0,0,6080.357142857142
Persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,B2C,paid,0.3,29575.48,194,-62.67,Different,-49645.32000000001,6,June,2,2023,1,January,1,2024,Friday,2Q2023,low revenue,Muy bajo,high budget,Media,-1.678597270441596,152.45092783505154,0,0,0,0,1,2640.6933333333336
Multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,B2C,paid,0.85,489015.27,131,950.28,Different,442454.77,4,April,2,2023,8,August,3,2023,Thursday,2Q2023,medium revenue,Muy alto,medium budget,Alta,0.9047872267874171,3732.9409923664125,1,1,0,0,1,547.7705882352941
Re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,B2C,referral,0.98,383111.17,284,573.89,Different,326260.55,7,July,3,2023,4,April,2,2024,Thursday,3Q2023,low revenue,Muy alto,high budget,Muy alta,0.8516080332505054,1348.9829929577463,1,1,0,0,0,580.1083673469388
Right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,B2B,referral,0.23,283711.16,464,199.1,Different,188855.00999999998,11,November,4,2022,2,February,1,2024,Wednesday,4Q2022,low revenue,Muy alto,high budget,Baja,0.6656594333476342,611.4464655172413,1,1,1,1,0,4124.180434782608
Diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,B2B,promotion,0.76,749909.68,303,703.04,Different,656526.05,10,October,4,2022,8,August,3,2023,Monday,4Q2022,high revenue,Muy alto,high budget,Alta,0.875473497021668,2474.9494389438946,1,1,0,0,0,1228.7319736842105
Intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,B2B,referral,0.26,429790.1,202,1541.45,Different,403606.52999999997,2,February,1,2023,9,September,3,2023,Saturday,1Q2023,medium revenue,Muy alto,low budget,Baja,0.939078238423826,2127.6737623762374,1,1,0,0,0,1007.0603846153846
Diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,B2B,promotion,0.78,852334.6,518,759.83,Different,753206.24,8,August,3,2022,1,January,1,2024,Friday,3Q2022,high revenue,Muy alto,high budget,Alta,0.8836978341604342,1645.4335907335908,1,1,0,1,0,1270.8764102564103
Enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,B2B,referral,0.81,872159.47,620,981.44,Different,791511.83,8,August,3,2022,4,April,2,2024,Saturday,3Q2022,high revenue,Muy alto,high budget,Alta,0.9075310848829057,1406.7088225806451,1,1,0,1,0,995.6498765432099
Function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,B2B,paid,0.37,873342.13,498,2727.87,Different,842458.71,3,March,1,2023,7,July,3,2024,Thursday,1Q2023,high revenue,Muy alto,medium budget,Media,0.9646376615313405,1753.6990562248996,1,1,0,1,1,834.6870270270269
Managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,B2C,organic,0.39,71257.79,631,185.05,Different,46259.17999999999,10,October,4,2022,7,July,3,2024,Friday,4Q2022,low revenue,Muy alto,low budget,Media,0.6491806720359977,112.92835182250396,1,1,0,1,1,640.99
Enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,B2B,promotion,0.93,211910.58,341,230.49,Different,147790.77,9,September,3,2022,9,September,3,2023,Thursday,3Q2022,low revenue,Muy alto,high budget,Muy alta,0.6974204402630582,621.4386510263929,1,1,0,0,0,689.4603225806451
Adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,B2C,paid,0.82,850376.61,310,1303.38,Different,789781.76,5,May,2,2023,3,March,1,2024,Tuesday,2Q2023,high revenue,Muy alto,high budget,Alta,0.9287435128301565,2743.1503548387095,1,1,0,0,1,738.9615853658537
Networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,B2C,organic,0.4,102385.82,370,356.85,Different,79974.46,11,November,4,2022,11,November,4,2023,Tuesday,4Q2022,low revenue,Muy alto,low budget,Media,0.7811087511923038,276.71843243243245,1,1,1,1,1,560.284
Seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,B2B,promotion,0.45,871834.53,407,1719.87,Different,823928.2100000001,8,August,3,2022,10,October,4,2023,Sunday,3Q2022,high revenue,Muy alto,medium budget,Media,0.9450511325813168,2142.0995823095823,1,1,0,1,0,1064.5848888888888
Exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,B2C,promotion,0.6,181056.53,427,534.2,Different,152507.77,8,August,3,2022,10,October,4,2023,Tuesday,3Q2022,low revenue,Muy alto,low budget,Alta,0.8423212904831435,424.01997658079625,1,1,0,1,0,475.81266666666664
Intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,B2B,referral,0.16,846562.3,618,1813.07,Different,802310.87,8,August,3,2022,5,May,2,2024,Saturday,3Q2022,high revenue,Muy alto,medium budget,Baja,0.9477280880568387,1369.8419093851132,1,1,0,1,0,2765.714375
Compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,B2C,referral,0.1,136858.12,324,316.04,Different,103963.01,12,December,4,2022,11,November,4,2023,Saturday,4Q2022,low revenue,Muy alto,medium budget,Baja,0.7596407871158832,422.4016049382716,1,1,1,0,0,3289.511
Progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,B2B,organic,0.59,505421.93,515,802.77,Different,449436.02999999997,11,November,4,2022,4,April,2,2024,Tuesday,4Q2022,medium revenue,Muy alto,high budget,Media,0.8892293810836422,981.4018058252427,1,1,1,1,1,948.913559322034
Sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,B2C,referral,0.49,830178.2,431,3476.46,Different,806965.9299999999,12,December,4,2022,2,February,1,2024,Thursday,4Q2022,high revenue,Muy alto,low budget,Media,0.9720394127429508,1926.167517401392,1,1,1,1,0,473.71979591836737
Devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,B2B,referral,0.25,287690.5,226,584.14,Different,245638.9,7,July,3,2023,2,February,1,2024,Sunday,3Q2023,low revenue,Muy alto,medium budget,Baja,0.8538304184531641,1272.966814159292,1,1,0,0,0,1682.0639999999999
Front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,B2B,paid,0.7,472828.97,371,492.3,Different,392999.44999999995,8,August,3,2022,8,August,3,2023,Thursday,3Q2022,medium revenue,Muy alto,high budget,Alta,0.8311661825627985,1274.4716172506737,1,1,0,1,1,1140.4217142857144
Grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,B2C,organic,0.45,455474.93,361,373.62,Different,359305.27,4,April,2,2023,4,April,2,2024,Wednesday,2Q2023,medium revenue,Muy alto,high budget,Media,0.7888584998520116,1261.703407202216,1,1,0,0,1,2137.1035555555554
Implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,B2C,organic,0.1,619138.31,479,751.37,Different,546416.0900000001,2,February,1,2023,6,June,2,2024,Sunday,1Q2023,medium revenue,Muy alto,high budget,Baja,0.8825428521778923,1292.5643215031316,1,1,0,1,1,7272.222
Reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,B2C,referral,0.8,27754.76,361,-46.75,Different,-24370.44,2,February,1,2023,2,February,1,2024,Wednesday,1Q2023,low revenue,Muy bajo,high budget,Alta,-0.8780634384876684,76.88299168975068,0,0,0,0,0,651.5649999999999
Open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,B2B,referral,0.74,347402.29,365,349.19,Different,270062.16,3,March,1,2023,3,March,1,2024,Thursday,1Q2023,low revenue,Muy alto,high budget,Alta,0.7773758774013838,951.7870958904109,1,1,0,1,0,1045.136891891892
Intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,B2C,promotion,0.7,244772.45,253,150.37,Different,147008.94,12,December,4,2022,8,August,3,2023,Sunday,4Q2022,low revenue,Muy alto,high budget,Alta,0.6005943070799021,967.4800395256917,1,1,1,0,0,1396.6215714285713
Reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,B2B,referral,0.83,536138.69,242,946.93,Different,484928.30999999994,12,December,4,2022,8,August,3,2023,Monday,4Q2022,medium revenue,Muy alto,high budget,Alta,0.9044829613024197,2215.4491322314047,1,1,1,0,0,616.9925301204819
Enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,B2B,paid,0.3,508865.73,144,3067.26,Different,492799.32,5,May,2,2023,9,September,3,2023,Friday,2Q2023,medium revenue,Muy alto,low budget,Media,0.9684270151185068,3533.7897916666666,1,1,0,0,1,535.547
Stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,B2C,referral,0.77,828963.15,536,827.43,Different,739579.96,10,October,4,2022,3,March,1,2024,Monday,4Q2022,high revenue,Muy alto,high budget,Alta,0.8921747124706326,1546.5730410447761,1,1,0,1,0,1160.8206493506493
Open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,B2B,organic,0.4,315646.86,663,577.96,Different,269088.86,8,August,3,2022,6,June,2,2024,Thursday,3Q2022,low revenue,Muy alto,medium budget,Media,0.8524997207322133,476.08877828054295,1,1,0,1,1,1163.95
Future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,B2C,paid,0.2,317338.48,602,410.37,Different,255160.18,9,September,3,2022,5,May,2,2024,Wednesday,3Q2022,low revenue,Muy alto,high budget,Baja,0.8040631567908184,527.1403322259135,1,1,0,1,1,3108.915
Decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,B2B,promotion,0.89,335385.42,583,1560.2,Different,315183.92,9,September,3,2022,4,April,2,2024,Sunday,3Q2022,low revenue,Muy alto,low budget,Alta,0.9397663142303562,575.2751629502573,1,1,0,1,0,226.98314606741573
Team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,B2C,organic,0.55,470023.84,429,976.95,Different,426379.85000000003,11,November,4,2022,1,January,1,2024,Saturday,4Q2022,medium revenue,Muy alto,medium budget,Media,0.9071451567222633,1095.6266666666668,1,1,1,1,1,793.5270909090908
Expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,B2B,organic,0.78,759838.76,316,3580.11,Different,739191.59,6,June,2,2023,5,May,2,2024,Monday,2Q2023,high revenue,Muy alto,low budget,Alta,0.972826906066229,2404.553037974684,1,1,0,0,1,264.70730769230767
Secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,B2C,paid,0.46,567832.12,344,1806.63,Different,538050.19,5,May,2,2023,5,May,2,2024,Tuesday,2Q2023,medium revenue,Muy alto,low budget,Media,0.9475515227986749,1650.6747674418605,1,1,0,0,1,647.4332608695652
Synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,B2C,referral,0.18,643537.76,214,623.05,Different,554534.35,4,April,2,2023,11,November,4,2023,Sunday,2Q2023,medium revenue,Muy alto,high budget,Baja,0.8616966780628381,3007.1857943925233,1,1,0,0,0,4944.6338888888895
Programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,B2B,promotion,0.22,286374.76,525,722.01,Different,251536.59000000003,10,October,4,2022,3,March,1,2024,Tuesday,4Q2022,low revenue,Muy alto,medium budget,Baja,0.8783476239316622,545.4757333333333,1,1,0,1,0,1583.5531818181817
